Method,Cluster,NumTraces,Precision,Fitness,FScore,VariabilityRatio,Miner
KMeans-TFIDF,Cluster 0,1594,0.15610317710422272,0.9632577140978593,0.26866686289056796,0.9943538268506901,inductive
KMeans-TFIDF,Cluster 1,1277,0.1222355502345247,0.9942349732719948,0.21770545027667373,0.9921691464369616,inductive
KMeans-TFIDF,Cluster 2,2416,0.03684197572439463,0.9952221549256017,0.07105362812881875,0.9830298013245033,inductive
KMeans-TFIDF,Cluster 3,918,0.11430214686229079,0.9928430113762985,0.20500308717978774,0.9989106753812637,inductive
KMeans-TFIDF,Cluster 4,543,0.03280101035138039,0.9849169044313696,0.06348767002769963,0.9871086556169429,inductive
KMeans-TFIDF,Cluster 5,986,0.08281739375377362,0.9923219693578226,0.15287603093422725,0.9979716024340771,inductive
SOM-TFIDF,Cluster 0,920,0.11800415633573691,0.9924379619152703,0.2109282464822672,0.9989130434782608,inductive
SOM-TFIDF,Cluster 1,1222,0.032033394600529896,0.9874402278266412,0.062053714321907504,0.9926350245499181,inductive
SOM-TFIDF,Cluster 2,2795,0.06246012108868437,0.9931696120780523,0.1175288877964915,0.9846153846153847,inductive
SOM-TFIDF,Cluster 3,1317,0.1231905504732107,0.9941637114177564,0.21921708995458153,0.9924069855732726,inductive
SOM-TFIDF,Cluster 4,1480,0.033777658840944524,0.9623619297519327,0.06526461415029487,0.9952702702702703,inductive
HDBSCAN-TFIDF,Cluster 0,2,0.05066273932253318,1.0,0.09643958508550611,1.0,inductive
HDBSCAN-TFIDF,Cluster 1,4,0.5853658536585367,1.0,0.7384615384615385,1.0,inductive
HDBSCAN-TFIDF,Cluster 2,8,0.7318681318681319,0.977645305514158,0.8370889958863665,1.0,inductive
HDBSCAN-TFIDF,Cluster 3,127,0.21425614489003886,0.9766878176750966,0.351421012497364,1.0,inductive
HDBSCAN-TFIDF,Cluster 4,3,0.4834307992202729,1.0,0.6517739816031537,1.0,inductive
HDBSCAN-TFIDF,Cluster 5,2,0.4731182795698925,0.9812206572769953,0.6384116074837725,1.0,inductive
HDBSCAN-TFIDF,Cluster 6,2,0.835978835978836,1.0,0.9106628242074928,1.0,inductive
HDBSCAN-TFIDF,Cluster 7,4,0.29446064139941686,1.0,0.4549549549549549,1.0,inductive
HDBSCAN-TFIDF,Cluster 8,3,0.1146983857264231,0.9969230769230769,0.20572734776811225,1.0,inductive
HDBSCAN-TFIDF,Cluster 9,4,0.04524948735475054,1.0,0.08658121893800685,1.0,inductive
HDBSCAN-TFIDF,Cluster 10,3,0.046125116713351955,1.0,0.08818279186004989,1.0,inductive
HDBSCAN-TFIDF,Cluster 11,5,0.047687861271676346,1.0,0.09103448275862076,1.0,inductive
HDBSCAN-TFIDF,Cluster 12,2,0.06134515890613457,1.0,0.11559888579387194,1.0,inductive
HDBSCAN-TFIDF,Cluster 13,3,0.8543307086614174,1.0,0.921443736730361,1.0,inductive
HDBSCAN-TFIDF,Cluster 14,2,0.03573629081947016,1.0,0.0690065437239739,1.0,inductive
HDBSCAN-TFIDF,Cluster 15,5,0.2334123222748815,0.9960474308300395,0.3781982181016193,1.0,inductive
HDBSCAN-TFIDF,Cluster 16,3,0.5662650602409638,1.0,0.7230769230769231,1.0,inductive
HDBSCAN-TFIDF,Cluster 17,8,0.04453849254332931,0.9760097881176766,0.08518951135195717,1.0,inductive
HDBSCAN-TFIDF,Cluster 18,6,0.035250197429822716,1.0,0.06809986130374487,1.0,inductive
HDBSCAN-TFIDF,Cluster 19,2,0.9,1.0,0.9473684210526316,1.0,inductive
HDBSCAN-TFIDF,Cluster 20,2,0.05932203389830504,1.0,0.11199999999999993,1.0,inductive
HDBSCAN-TFIDF,Cluster 21,3,0.7176470588235294,1.0,0.8356164383561643,1.0,inductive
